unique_id,date,dish,cuisine,type,rating,price,cooking_cost
135246885572320,2022-04-28,Enchiladas,MexicanDish,MainCourse,1,65,44.65
135246885576592,,Hot & Sour Soup,Soups,Appetizer,2,74,57.94
135246885575008,2022-07-26,Margherita Pizza,ItalianDish,MainCourse,2,,
135246885569248,2022-02-18,Chicken Soup,Soups,Appetizer,2,,
135246885577216,2022-01-03,Chicken Soup,Soups,Appetizer,2,,
135246885575152,2022-06-04,Chicken Soup,Soups,Appetizer,2,72,47.59
135246885576400,2022-02-02,Guacamole,MexicanDish,MainCourse,2,,
135246885570112,2022-02-04,Hot & Sour Soup,Soups,Appetizer,3,82,46.67
135246885569008,2022-01-28,Enchiladas,MexicanDish,MainCourse,1,,
135246885570016,2022-02-23,Margherita Pizza,ItalianDish,MainCourse,1,90,52.12
135246885569920,2022-04-15,Margherita Pizza,ItalianDish,MainCourse,2,78,55.07
135246885575872,2022-04-08,Chicken Soup,Soups,Appetizer,1,66,48.65
135246885570064,2022-03-15,Enchiladas,MexicanDish,MainCourse,1,71,41.85
135246885574096,2022-01-10,Spaghetti Bolognese,ItalianDish,MainCourse,2,76,48.2
135246885570160,2022-01-18,Hot & Sour Soup,Soups,Appetizer,1,76,40.29
135246885574144,2022-10-02,Hot & Sour Soup,Soups,Appetizer,4,98,51.03
135246885576784,2022-01-16,Chicken Soup,Soups,Appetizer,2,71,55.05
135246885574528,2022-09-16,Chicken Soup,Soups,Appetizer,1,84,45.67
135246885570688,2022-01-12,Spaghetti Bolognese,ItalianDish,MainCourse,3,86,53.47
135246885574288,2022-06-06,Chicken Soup,Soups,Appetizer,1,75,48.8
135246885573088,2022-01-08,Hot & Sour Soup,Soups,Appetizer,1,89,53.77
135246885574480,2022-01-03,Margherita Pizza,ItalianDish,MainCourse,2,97,57.33
135246885571792,2022-02-15,Chicken Soup,Soups,Appetizer,,82,57.75
135246885572464,2022-01-03,Margherita Pizza,ItalianDish,MainCourse,2,82,54.53
135246885570928,2022-01-23,Spaghetti Bolognese,ItalianDish,MainCourse,2,83,42.71
135246885570880,2022-04-27,Hot & Sour Soup,Soups,Appetizer,1,,
135246885573904,2022-03-09,Spaghetti Bolognese,ItalianDish,MainCourse,1,81,45.9
135246885575824,2022-04-02,Chicken Soup,Soups,Appetizer,2,73,46.95
135246885569968,2022-01-11,Spaghetti Bolognese,ItalianDish,MainCourse,2,88,41.97
135246885577168,2022-06-20,Hot & Sour Soup,Soups,Appetizer,3,61,51.59
135246885574192,2022-06-14,Enchiladas,MexicanDish,MainCourse,,88,46.84
135246885572224,2022-01-03,Spaghetti Bolognese,ItalianDish,MainCourse,2,86,52.98
135246885571840,2022-07-26,Hot & Sour Soup,Soups,Appetizer,1,70,48.74
135246885570832,2022-02-11,Chicken Soup,Soups,Appetizer,2,83,56.99
135246885569728,2022-02-07,Margherita Pizza,ItalianDish,MainCourse,2,87,50.11
135246885571984,2022-03-30,Spaghetti Bolognese,ItalianDish,MainCourse,1,70,51.03
135246885571888,2022-05-05,Tomato Soup,Soups,Appetizer,2,91,46.08
135246885573232,2022-03-11,Margherita Pizza,ItalianDish,MainCourse,1,77,54.16
135246885574384,2022-04-07,Spaghetti Bolognese,ItalianDish,MainCourse,2,66,49.38
135246885572512,2022-08-28,Enchiladas,MexicanDish,MainCourse,3,74,46.36
135246885577312,2022-10-03,Chicken Soup,Soups,Appetizer,3,62,44.61
135246885572032,2022-06-07,Chicken Soup,Soups,Appetizer,3,71,46.8
135246885576928,2022-02-08,Spaghetti Bolognese,ItalianDish,MainCourse,2,71,54.64
135246885576736,2022-02-22,Hot & Sour Soup,Soups,Appetizer,1,80,47.17
135246885574336,2022-03-27,Chicken Soup,Soups,Appetizer,3,86,44.89
